cycle,seed,pid_before,kill_rc,disconnect_s,dwell_s,launch_rc,connect_s,subscribed_s,first_rx_s,status,anomalies,launch_err
25,20260912,1195,0,0.10493278503417969,0.5,0,0.7152450084686279,0.9282190799713135,0.10459017753601074,PASS,,
26,20260912,1197,0,0.10430288314819336,3.0,0,0.7221488952636719,0.9362421035766602,0.10277915000915527,PASS,,
27,20260912,1199,0,0.10137391090393066,2.0,0,0.7172038555145264,0.9323480129241943,0.1004180908203125,PASS,,
28,20260912,1205,0,0.10082411766052246,1.0,0,0.6171572208404541,1.0389351844787598,0.10172224044799805,PASS,,
29,20260912,1207,0,0.20689177513122559,0.0,0,0.5170059204101562,0.9341778755187988,0.2088608741760254,PASS,,
30,20260912,1209,0,0.10475420951843262,1.0,0,0.6252131462097168,0.93601393699646,0.10391712188720703,PASS,,
31,20260912,1211,0,0.20622920989990234,2.0,0,0.6223678588867188,0.9348351955413818,0.20427703857421875,PASS,,
32,20260912,1214,0,0.10516190528869629,0.0,0,0.627683162689209,0.9267909526824951,0.20556187629699707,PASS,,
33,20260912,1216,0,0.10289931297302246,1.0,0,0.6201291084289551,1.0046589374542236,0.10242199897766113,PASS,,
34,20260912,1218,0,0.10036420822143555,1.0,0,0.6181480884552002,0.8227112293243408,0.10497713088989258,PASS,,
35,20260912,1220,0,0.21035385131835938,0.0,0,0.7288198471069336,0.8245408535003662,0.20383524894714355,PASS,,
36,20260912,1222,0,0.10368585586547852,0.2,0,0.6213791370391846,0.9398221969604492,0.10513901710510254,PASS,,
37,20260912,1224,0,0.10430502891540527,0.2,0,0.6136219501495361,0.9369778633117676,0.10395598411560059,PASS,,
38,20260912,1226,0,0.20876216888427734,0.2,0,0.7191078662872314,0.8337571620941162,0.10137414932250977,PASS,,
39,20260912,1228,0,0.21022486686706543,2.0,0,0.6187789440155029,0.8297591209411621,0.2047712802886963,PASS,,
40,20260912,1230,0,0.20993304252624512,0.0,0,0.7290351390838623,0.931351900100708,0.10174703598022461,PASS,,
41,20260912,1232,0,0.20829200744628906,0.2,0,0.41228318214416504,0.9385240077972412,0.10323786735534668,PASS,,
42,20260912,1234,0,0.20642495155334473,0.2,0,0.5153119564056396,0.9331979751586914,0.21014022827148438,PASS,,
43,20260912,1236,0,0.21040678024291992,0.5,0,0.6200189590454102,0.9331138134002686,0.10506272315979004,PASS,,
44,20260912,1238,0,0.20603299140930176,0.2,0,0.6189048290252686,0.9300379753112793,0.10309004783630371,PASS,,
45,20260912,1240,0,0.10430312156677246,3.0,0,0.6275200843811035,0.9350030422210693,0.10310506820678711,PASS,,
46,20260912,1243,0,0.1033477783203125,0.5,0,0.6197388172149658,0.9363818168640137,0.2060389518737793,PASS,,
47,20260912,1245,0,0.10170483589172363,3.0,0,0.6137206554412842,0.9286861419677734,0.10147404670715332,PASS,,
48,20260912,1247,0,0.10559606552124023,0.2,0,0.5214447975158691,0.9347341060638428,0.10332298278808594,PASS,,
49,20260912,1249,0,0.2048320770263672,0.0,0,0.6155052185058594,0.9281461238861084,0.10218095779418945,PASS,,
50,20260912,1251,0,0.22044706344604492,0.2,0,0.6220831871032715,0.9646620750427246,0.20784997940063477,PASS,,
51,20260912,1253,0,0.10485100746154785,3.0,0,0.5212728977203369,1.0272760391235352,0.10546517372131348,PASS,,
52,20260912,1255,0,0.20673513412475586,0.2,0,0.6223280429840088,0.9299321174621582,0.21256184577941895,PASS,,
53,20260912,1257,0,0.10255599021911621,2.0,0,0.7208850383758545,0.8453049659729004,0.2050471305847168,PASS,,
54,20260912,1259,0,0.20671677589416504,1.0,0,0.622039794921875,0.9224307537078857,0.10472607612609863,PASS,,
55,20260912,1261,0,0.2104489803314209,0.0,0,0.711367130279541,0.8278400897979736,0.20794081687927246,PASS,,
56,20260912,1263,0,0.10413408279418945,0.5,0,0.7254006862640381,0.8166868686676025,0.20595216751098633,PASS,,
57,20260912,1265,0,0.1053769588470459,0.5,0,0.6186308860778809,0.8273899555206299,0.1033170223236084,PASS,,
58,20260912,1267,0,0.1052541732788086,0.0,0,0.7259261608123779,0.9350509643554688,0.10484886169433594,PASS,,
59,20260912,1269,0,0.2099010944366455,0.0,0,0.6270079612731934,0.8399033546447754,0.10389995574951172,PASS,,
60,20260912,1271,0,0.20695924758911133,0.5,0,0.6224379539489746,0.8364837169647217,0.21554994583129883,PASS,,
61,20260912,1273,0,0.20612192153930664,3.0,0,0.5166840553283691,0.8240871429443359,0.2084670066833496,PASS,,
62,20260912,1275,0,0.20335888862609863,3.0,0,0.6170790195465088,0.9306519031524658,0.10266709327697754,PASS,,
63,20260912,1277,0,0.10373497009277344,0.2,0,0.6204578876495361,0.9284768104553223,0.10519027709960938,PASS,,
64,20260912,1279,0,0.20403718948364258,1.0,0,0.8239827156066895,0.9264850616455078,0.20136594772338867,PASS,,
65,20260912,1281,0,0.20893120765686035,1.0,0,0.7272241115570068,0.9354689121246338,0.10303306579589844,PASS,,
66,20260912,1283,0,0.10385608673095703,0.0,0,0.6211819648742676,0.8158619403839111,0.20719003677368164,PASS,,
67,20260912,1285,0,0.20754194259643555,0.2,0,0.7247281074523926,0.8230271339416504,0.21064090728759766,PASS,,
68,20260912,1287,0,0.10165691375732422,0.2,0,0.724008321762085,1.0343689918518066,0.10357403755187988,PASS,,
69,20260912,1289,0,0.2081298828125,0.2,0,0.828948974609375,0.9288709163665771,0.1039118766784668,PASS,,
70,20260912,1291,0,0.10372090339660645,2.0,0,0.7213408946990967,0.934377908706665,0.20572400093078613,PASS,,
