t0_ms,t1_ms,dt_ms,idx0,idx1,count,advance,fps,excluded
5346754,5347754,1000,260,270,325,10,10.0,0
5347754,5348754,1000,270,280,325,10,10.0,0
5348754,5349754,1000,280,290,325,10,10.0,0
5349754,5350754,1000,290,300,325,10,10.0,0
5350754,5351754,1000,300,310,325,10,10.0,0
5351754,5352754,1000,310,320,325,10,10.0,0
5352754,5353754,1000,320,5,325,10,10.0,0
5353754,5354754,1000,5,15,325,10,10.0,0
5354754,5355754,1000,15,25,325,10,10.0,0
5355754,5356754,1000,25,35,325,10,10.0,0
5356754,5357754,1000,35,45,325,10,10.0,0
5357754,5358754,1000,45,55,325,10,10.0,0
5358754,5359754,1000,55,65,325,10,10.0,0
5359754,5360754,1000,65,75,325,10,10.0,0
5360754,5361754,1000,75,85,325,10,10.0,0
5361754,5362754,1000,85,95,325,10,10.0,0
5362754,5363754,1000,95,105,325,10,10.0,0
5363754,5364754,1000,105,115,325,10,10.0,0
5364754,5365754,1000,115,125,325,10,10.0,0
5365754,5366754,1000,125,135,325,10,10.0,0
5366754,5367754,1000,135,145,325,10,10.0,0
5367754,5368754,1000,145,155,325,10,10.0,0
5368754,5369754,1000,155,165,325,10,10.0,0
5369754,5370754,1000,165,175,325,10,10.0,0
5370754,5371754,1000,175,185,325,10,10.0,0
5371754,5372754,1000,185,195,325,10,10.0,0
5372754,5373754,1000,195,205,325,10,10.0,0
5373754,5374754,1000,205,215,325,10,10.0,0
5374754,5375754,1000,215,225,325,10,10.0,0
5375754,5376754,1000,225,235,325,10,10.0,0
5376754,5377754,1000,235,245,325,10,10.0,0
5377754,5378754,1000,245,255,325,10,10.0,0
5378754,5379754,1000,255,265,325,10,10.0,0
5379754,5380754,1000,265,275,325,10,10.0,0
5380754,5381754,1000,275,285,325,10,10.0,0
5381754,5382754,1000,285,295,325,10,10.0,0
5382754,5383754,1000,295,305,325,10,10.0,0
5383754,5384754,1000,305,315,325,10,10.0,0
5384754,5385754,1000,315,0,325,10,10.0,0
5385754,5386754,1000,0,10,325,10,10.0,0
5386754,5387754,1000,10,20,325,10,10.0,0
5387754,5388754,1000,20,30,325,10,10.0,0
5388754,5389754,1000,30,40,325,10,10.0,0
5389754,5390754,1000,40,50,325,10,10.0,0
5390754,5391754,1000,50,60,325,10,10.0,0
5391754,5392754,1000,60,70,325,10,10.0,0
5392754,5393754,1000,70,80,325,10,10.0,0
5393754,5394754,1000,80,90,325,10,10.0,0
5394754,5395754,1000,90,100,325,10,10.0,0
5395754,5396754,1000,100,110,325,10,10.0,0
